,ancient,ArvanitikaAlbanian,ModernEasternArmenian,ModernBreton,ModernBulgarian,Czech,Dutch,English,French,NorthernFrisian,CappadocianGreek,ModernGreek,HighAllemanic,Icelandic,ModernIrish,Italian,Lithuanian,Norwegian,Farsi,Polish,Portuguese,ModernRussian,ModernSardinianLogudorese,ModernSicilian,Spanish,Swedish,ModernWelsh,ModernHebrew,EgyptianArabic
39,Luwian,1441.0050917743283,1013.5856398699987,4440.964811733425,1293.2807203079317,2615.303586326995,3637.549809793381,4240.9277447735585,3903.131475371624,3426.3502654590657,91.8983240038442,1366.874550538668,3185.51198678906,6519.257234622764,5117.485931646126,2705.5749411181678,2106.026006977222,4128.237062216121,1805.803710229692,2239.531751981684,4871.321728633189,1614.9145816230232,2997.1658068013467,2523.50269144113,4432.753826644448,3193.884680872523,4556.499079169591,604.2443277821035,926.8624114930403
40,MandaicAramaic,2953.08639194068,586.5774612190745,5936.073836387758,2782.5736562827524,4036.155517694143,5068.509599239915,5698.795852218525,5391.503088312244,4811.133082739409,1588.0223038195024,2881.962110817727,4669.883199861511,7903.614384199616,6585.85713019928,4213.754595595941,3279.5798922029494,5402.5438290869115,308.87961734494337,3571.282000590869,6383.836002585672,2041.6170268866526,4512.2308457437675,4034.925349707,5947.140482451867,4403.84867875519,6022.102496942415,1679.9558663822427,2124.9079244766326
41,OldAkkadian,2383.0697174853626,557.1492233362105,5424.741517062226,2284.005478962421,3601.366815050156,4626.855689741155,5232.268370547419,4890.305795178816,4405.983057052053,1077.95734076335,2326.120940327153,4174.551333225689,7503.328060360068,6108.020046414773,3682.1935446444168,2990.640200365343,5074.623225979535,880.949621547148,3196.419500655802,5800.163286824002,2032.8671020590464,3946.639611321322,3455.5982265224984,5371.829070112253,4108.6675996399,5547.462103748851,1037.9421917589889,1479.2300955557823
42,OldAramaic,1629.1037412602054,1072.4152812259633,4698.570974874376,1616.8541410040534,2970.895804956659,3972.4283048225475,4547.385124378679,4176.073639123403,3793.033034063183,556.0045416822626,1587.9168116300646,3471.7546762246598,6864.139801022817,5406.959952053031,2949.9398801729753,2558.9407547068126,4534.655402510399,1669.3264914942545,2648.0800658982075,5022.477368171256,2045.6573494211655,3184.320295738539,2685.504667477035,4599.262832218703,3626.460162400769,4852.71882993031,269.1082645356127,715.2797627789912
43,OldAssyrian,2000.3642624442118,561.4196632874732,5020.286715616784,1872.5514123311987,3183.973989529342,4210.266244639578,4818.563578359637,4482.850949978822,3988.183148510691,663.6518045895822,1935.0105217574599,3765.164931455467,7085.56548960876,5696.511050575308,3282.6567053025747,2588.9295074365064,4661.566401129996,1236.6653188449118,2780.6028660173506,5429.100885895427,1757.790157827628,3563.077047229151,3080.3678684270653,4994.987055323464,3701.9355076770626,5135.135884861968,780.3447766105118,1224.0316414879458
44,OldBabylonian,2447.0345632151475,586.0500040988625,5491.423452042065,2351.9357022955433,3670.1199171879057,4695.473449288689,5300.417861634528,4957.481443645344,4474.813851634903,1146.4152048217957,2391.2642990486975,4242.056449874637,7572.1445614478325,6175.802638932223,3748.2496820497377,3057.3033080643218,5142.784752437762,828.1407710584187,3265.0011065741633,5861.555127390528,2082.8764409646355,4010.260145007423,3518.0918527442295,5434.18822548042,4175.939298041513,5615.3863021885045,1089.6343407562763,1527.786029753928
45,OldElamite,2864.0492707339035,764.4454394676136,5906.590693655096,2762.679064939402,4070.072068263686,5098.402741252728,5708.980668372961,5371.282693268889,4868.4307596558165,1554.1282735425518,2808.279018327774,4654.637101940324,7967.492181275857,6586.835277687589,4164.537964559695,3409.5271419614187,5513.945716095246,465.23901054453734,3647.429132828722,6275.886630411356,2302.7894192754698,4427.077274198801,3934.0082786214393,5849.841129816464,4533.835238749157,6025.5907049746365,1488.1347915435113,1915.6470674558366
46,Phoenician,1451.5432258335088,1151.439337785739,4516.402512763664,1428.0537003930647,2782.157335675323,3783.8653867422363,4360.360688912223,3991.88372825912,3604.4476265857616,416.29871774242235,1405.7727603179048,3285.905872001852,6675.512550216528,5221.57329820083,2768.074888147089,2387.7798091198174,4348.973188835601,1816.6603825774193,2463.7092200573115,4858.424139872369,1964.7472914943523,3011.312511306679,2516.07363392679,4431.739054465708,3446.416357865274,4666.572438944795,255.0908929275552,642.5984182695244
47,Samal,1517.8225199580352,956.6649042315129,4534.962821390021,1392.4541977968424,2720.562520200347,3741.122263297736,4341.412713443659,3998.9899354335175,3533.039901997424,201.6148012792186,1449.3243755809435,3282.694707931615,6624.587252167754,5216.16398014187,2796.0144147203196,2214.7062470782503,4237.662225239682,1720.8882952766678,2348.809777090684,4948.526715524314,1678.4996863149854,3078.6298221325524,2599.6433787557557,4512.276087131697,3303.6323655946176,4655.826762377897,545.8388044072093,909.0887780750286
48,StandardBiblicalHebrew,1477.6815009130332,1295.6534045976882,4552.057417792124,1527.292838400253,2882.3391432503317,3866.242689526217,4423.897560211002,4037.8287134348375,3707.1249370784976,629.9042068870784,1450.4578847320633,3342.553577308091,6756.589842954152,5272.90448469683,2805.1713881271576,2558.3857186882033,4475.705500578816,1878.2357057864779,2600.0625667952922,4838.021334287682,2183.838033913673,3016.656090315562,2512.3649943162754,4420.202681341764,3595.464360685568,4723.265935130954,45.258590399330835,491.4023963710372
49,Sumerian,2586.993159993213,685.6660980973734,5638.444939101096,2503.344382020995,3824.90132366317,4849.450076240741,5452.377250536595,5106.101189125105,4630.50596590192,1300.024833543608,2534.4189180884723,4391.807551054734,7727.4485879899985,6326.386855591759,3893.5925270816497,3212.235755715385,5299.193581629162,731.1734533598251,3421.4734292805115,5993.615402809716,2210.094613552835,4148.712607307584,3653.6747708183534,5568.921506811065,4331.561460023453,5766.49858037179,1203.4231664475694,1632.3319861769182
50,Syriac,2124.2601562144837,394.2424294652769,5118.521338543177,1964.7747801470211,3252.9012184949383,4283.08007653022,4900.624463307469,4577.272420926042,4047.965861436698,760.8264980142661,2052.6027181541376,3857.1882749948663,7147.126378762513,5782.9385392535705,3388.709872082253,2603.5277460562606,4697.025754012099,1121.0423592893683,2826.55885006565,5555.178017128606,1671.744260861002,3682.85488730937,3206.4816166781416,5117.85942429012,3724.215104940904,5220.217198928667,946.7935282162488,1389.1266979844706
51,Ugaritic,1435.4696458576936,1089.3904948336929,4483.002849658771,1365.7175027053345,2712.708349289471,3723.2512675118282,4310.288149514542,3952.991253591924,3531.9072490276903,284.08022197408906,1378.5808541804606,3241.81482060784,6612.917079029609,5177.877413831416,2737.3276130056283,2276.7486311271236,4261.3202854400415,1806.6751600416471,2373.0300514046326,4858.888100795116,1831.303323965288,2999.3433267000273,2511.326974437473,4427.309128245997,3346.6314830848764,4620.248027570781,387.35338802715376,743.0371387380857
